Run ID,1021,,,,,,,,,,,,,,,,,,,
Run Date/Time,18/07/2014 08:52,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.4,,,,,,,,,,,,,,,,,,,
Protocol Name,18.07.14_BRD4 and BRD9 IC50 _10mM Stock_50uM FAC top_100nl transfer_0.5% DMSO_ 4 daughters_1in2.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J2,2.50E-05,M,BDG00021341a,Sample 5,50,50,8.464,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J1,5.00E-05,M,BDG00021341a,Sample 5,100,100,8.364,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I1,5.00E-05,M,BDG00021341a,Sample 5,100,100,8.264,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K1,5.00E-05,M,BDG00021332a,Sample 6,100,100,7.873,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L1,5.00E-05,M,BDG00021332a,Sample 6,100,100,7.773,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L2,2.50E-05,M,BDG00021332a,Sample 6,50,50,7.723,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K2,2.50E-05,M,BDG00021332a,Sample 6,50,50,7.673,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K3,1.25E-05,M,BDG00021332a,Sample 6,25,25,7.648,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L3,1.25E-05,M,BDG00021332a,Sample 6,25,25,7.623,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L4,6.25E-06,M,BDG00021332a,Sample 6,12.5,12.5,7.61,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K4,6.25E-06,M,BDG00021332a,Sample 6,12.5,12.5,7.598,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K5,3.75E-06,M,BDG00021332a,Sample 6,7.5,7.5,7.59,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L5,3.75E-06,M,BDG00021332a,Sample 6,7.5,7.5,7.583,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L6,1.25E-06,M,BDG00021332a,Sample 6,2.5,2.5,7.58,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,F1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K6,1.25E-06,M,BDG00021332a,Sample 6,2.5,2.5,7.578,82.375,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M6,1.25E-06,M,BDG00021108a,Sample 7,2.5,2.5,7.945,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N6,1.25E-06,M,BDG00021108a,Sample 7,2.5,2.5,7.943,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N5,3.75E-06,M,BDG00021108a,Sample 7,7.5,7.5,7.935,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M5,3.75E-06,M,BDG00021108a,Sample 7,7.5,7.5,7.928,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M4,6.25E-06,M,BDG00021108a,Sample 7,12.5,12.5,7.915,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N4,6.25E-06,M,BDG00021108a,Sample 7,12.5,12.5,7.903,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N3,1.25E-05,M,BDG00021108a,Sample 7,25,25,7.878,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M3,1.25E-05,M,BDG00021108a,Sample 7,25,25,7.853,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M2,2.50E-05,M,BDG00021108a,Sample 7,50,50,7.803,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N2,2.50E-05,M,BDG00021108a,Sample 7,50,50,7.753,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N1,5.00E-05,M,BDG00021108a,Sample 7,100,100,7.653,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M1,5.00E-05,M,BDG00021108a,Sample 7,100,100,7.553,84.196,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O1,5.00E-05,M,BDG00021339a,Sample 8,100,100,8.698,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P1,5.00E-05,M,BDG00021339a,Sample 8,100,100,8.598,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P2,2.50E-05,M,BDG00021339a,Sample 8,50,50,8.548,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O2,2.50E-05,M,BDG00021339a,Sample 8,50,50,8.498,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O3,1.25E-05,M,BDG00021339a,Sample 8,25,25,8.473,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P3,1.25E-05,M,BDG00021339a,Sample 8,25,25,8.448,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P4,6.25E-06,M,BDG00021339a,Sample 8,12.5,12.5,8.436,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O4,6.25E-06,M,BDG00021339a,Sample 8,12.5,12.5,8.423,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O5,3.75E-06,M,BDG00021339a,Sample 8,7.5,7.5,8.416,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P5,3.75E-06,M,BDG00021339a,Sample 8,7.5,7.5,8.408,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P6,1.25E-06,M,BDG00021339a,Sample 8,2.5,2.5,8.406,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,H1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O6,1.25E-06,M,BDG00021339a,Sample 8,2.5,2.5,8.403,76.342,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O13,5.00E-05,M,BDG00021103a,Sample 15,100,100,8.78,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P13,5.00E-05,M,BDG00021103a,Sample 15,100,100,8.68,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P14,2.50E-05,M,BDG00021103a,Sample 15,50,50,8.63,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O14,2.50E-05,M,BDG00021103a,Sample 15,50,50,8.58,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O15,1.25E-05,M,BDG00021103a,Sample 15,25,25,8.555,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P15,1.25E-05,M,BDG00021103a,Sample 15,25,25,8.53,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P16,6.25E-06,M,BDG00021103a,Sample 15,12.5,12.5,8.517,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O16,6.25E-06,M,BDG00021103a,Sample 15,12.5,12.5,8.505,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O17,3.75E-06,M,BDG00021103a,Sample 15,7.5,7.5,8.497,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P17,3.75E-06,M,BDG00021103a,Sample 15,7.5,7.5,8.49,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P18,1.25E-06,M,BDG00021103a,Sample 15,2.5,2.5,8.487,83.893,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O18,1.25E-06,M,BDG00021103a,Sample 15,2.5,2.5,8.485,83.893,Percent,DMSO,
