Run ID,1215
Run Date/Time,2014-10-21 10:17:59
Application Name,Labcyte Echo Dose-Response
Application Version,1.5.4
Protocol Name,21.10.2014_Novartis_CECR_FALZ_IC50_10mM Stock_5uM FAC 10nltransfer 1in2 .edr
User Name,ACCESS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K13,5E-06,M,BDV00005301a,Sample 9,10,10,4.957,84.541,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L13,5E-06,M,BDV00005301a,Sample 9,10,10,4.947,84.541,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D13,5E-06,M,BDV00005288b,Sample 39,10,10,5.018,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C13,5E-06,M,BDV00005288b,Sample 39,10,10,5.008,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C14,2.5E-06,M,BDV00005288b,Sample 39,5,5,5.003,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D14,2.5E-06,M,BDV00005288b,Sample 39,5,5,4.998,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D15,1.25E-06,M,BDV00005288b,Sample 39,2.5,2.5,4.995,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C15,1.25E-06,M,BDV00005288b,Sample 39,2.5,2.5,4.993,87.096,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E15,1.25E-06,M,BDV00005298a,Sample 35,2.5,2.5,5.548,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F15,1.25E-06,M,BDV00005298a,Sample 35,2.5,2.5,5.545,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F14,2.5E-06,M,BDV00005298a,Sample 35,5,5,5.54,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E14,2.5E-06,M,BDV00005298a,Sample 35,5,5,5.535,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E13,5E-06,M,BDV00005298a,Sample 35,10,10,5.525,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F13,5E-06,M,BDV00005298a,Sample 35,10,10,5.515,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G13,5E-06,M,BDV00005299a,Sample 33,10,10,5.244,84.609,Percent,DMSO,
